english_speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on
ale,ae,7.275443037974683,11.756064123825317,14.746286215978929,264.523,0.5081054961997111,0.47252531103992723,15.122826975025207,-0.159410945,1.0259651595037358,0.9180370163443037
ale,iy,5.227275641025641,15.24522469550609,15.899201896483602,120,-0.630027118,0.41849409393677917,16.22791606149443,0.16735075007133737,-0.277948054,0.1912305254671427
ale,eh,5.873165048543688,12.84758691206544,15.619095151146277,31.84,-0.188443262,0.27327287972323866,15.978192916026954,-0.095545072,0.6812361891235916,0.4077146049512823
ale,ih,5.681176009408075,11.431850805312235,15.121027819069868,60,0.5982716124738277,-0.584414124,15.487664023097626,1.3435656542049692,-0.602482972,0.1519340577629773
ale,eh,6.375606061,11.871554702495203,15.210356014324837,70,-0.578318176,-0.591037987,15.570962632033748,-0.581999823,0.8126885057842266,0.29285973629041884
ale,ih,4.9191869918699185,15.346250520183103,16.39519939804364,122.141,-1.694795044,0.9333688580331465,16.729490911256953,-0.139841656,-1.996270205,-0.469406295
ale,ih,4.201176470588234,12.919308415967455,14.789162475399081,30,0.2628431372549018,-0.077678439,15.14255337770913,0.15658740091781453,-0.295129622,-0.091177022
ale,eh,6.100430107526881,11.977441480675013,15.212687447346251,40,-0.335310074,0.4787635622502595,15.586319320679051,0.37270973416177267,-2.572072181,-0.410974909
ale,ih,5.344701195219123,13.801348848254571,14.64155039,76.791,-2.16159391,-0.303581643,14.979993606278867,-0.236175812,-0.143880676,1.149906698231442
ale,ah,7.003550990462215,11.175774647887325,15.87247375717964,40,-0.230562819,-0.180169686,16.248035453701526,-0.28706551,-0.287573125,0.032876687045437336
ale,ae,8.658403755868544,11.531866404715128,14.844178454842218,120.398,1.1924388435878432,0.9611638636089985,15.230361978345535,-0.083120737,-0.919010114,0.042152854784841765
ale,ah,5.048646464646464,13.425890410958905,15.53846279640229,96.231,0.060218588,0.022048215418596584,15.88636271046011,0.26263845155465226,-0.554310926,-0.05517535
ale,uw,3.7080068728522333,11.427654041831543,15.810264993026498,50,-0.493169598,-0.06686481,16.183953094882593,0,1.0094587084318913,-0.020901847
ale,aa,5.753593749999999,10.61752608,15.217347368421052,60,-0.095768614,-0.444518518,15.596883603716554,-0.080495711,0.4489244117060771,0.030194097
ale,uh,5.640722702278083,9.848605378361476,14.908521964942654,156.558,-0.482929005,-0.656071896,15.295598986394845,0.008103368,1.2134392205380298,0.078204878
ale,ah,4.5031247409863235,12.754234234234234,16.28426098535286,49,-0.476672584,0.5507410652012847,16.648367530141474,0.5283511991673349,0.5861942316608655,0.086706392
ale,ah,5.427777777777777,8.364009546539378,15.68999596936719,69,-0.115205648,-6.53219496,16.017774079479306,0.3177947114758366,-0.593202924,-0.334652934
ale,ah,4.494096185737976,12.451684210526315,14.407519204699502,31,-1.339366849,-0.720907458,14.75853983709112,-0.292919715,-0.316394843,-0.053892332
ale,eh,4.247463312368972,13.441592963596383,16.530909090909088,29,-0.027679066,-0.362718527,16.873406414519877,0.082829085,0.1641185655883728,0.012644735
ale,ah,6.953924236851782,11.804077134986226,14.045401629802095,30,1.7182173886339216,-0.694753182,14.40551882142859,1.8043685274029704,1.2197170123397072,0.23194875850306573
ale,ah,7.7053799929303635,11.81204845814978,15.314307178631053,30,-0.398348821,-0.364999314,15.678771000656027,0.4547579381041187,0.9421857760844539,-1.170011567
ale,ih,5.091451612903225,11.456981664315938,15.252172088142709,38.198,0.042805148,-3.668783566,15.576857685908996,0.23655476668210085,-0.961781905,0.17761110409350778
ale,uw,4.330292397660818,11.564906188742649,15.536266612144756,110,1.0671999754093946,-1.788254943,15.884850402927949,1.1057567891698046,-5.612797872,-0.647465398
ale,ah,8.418817131203262,11.94231923601637,15.986640548481882,97.634,1.150249837426129,-1.111504071,16.33926424037756,-1.651479589,-0.710314654,-0.097702443
ale,uw,3.9951823579304486,10.802061855670104,15.534069529652355,80,0.2002486822779037,-1.27204466,15.899924179026304,0,0.2069122797556453,-0.187819009
ale,ah,5.999181783,11.650935412026726,12.97344137756394,67.02,-0.3159246,2.713377656251149,13.381743296033381,-0.253609294,-0.903776086,1.1145400609511409
ale,ae,7.5330859793078835,14.789162475399081,16.034806005069214,80,-0.683112027,-0.055015979,16.36328508067623,-0.7223709,-0.835599257,-0.003996565
ale,uw,7.289179616913624,13.208457711442787,15.715544833132286,31,0.35660229732599547,-0.077575919,16.065034478550345,-0.173147524,0.016237940731125278,0.080097625
ale,uw,3.6008459214501505,13.531916545366327,15.986640548481882,31,-0.009783932,0.8055920676773933,16.343685610428235,0.1844622977279311,0.13464130388955553,-0.715984776
ale,uw,4.5031247409863235,11.145322580645162,15.77468212714914,49,0.6123876297805291,0.29780422528539674,16.157120246080897,-0.090623701,0.7341293239862434,-0.025263289
ale,eh,4.210449391,14.723457224543656,15.65573797007683,41,0.11179172955164862,0.7525694288069502,15.995988716873832,0.04624801,0.15298374767856515,1.4887265639982719
ale,ah,4.673256578947368,10.394993954050786,15.142314540059347,60,0.044513274,-4.562532441,15.469266485964456,-0.152097159,3.049734917468511,0.4355266004701832
ale,eh,5.065789261203068,14.700537681798147,15.346250520183103,30,-1.203700457,-0.593135745,15.668674608769866,-3.737166279,-1.703550826,-0.32805935
ale,ih,4.6465706051873195,13.087029876977153,15.623419184749542,40,0.13442478911441214,0.6208048506890353,15.983976743244451,-0.035684007,2.281923611394941,1.427989315
