vowel,f1,f2,f3,duration,spanish_speaker,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on
e,6.0226368542791056,11.381332577261128,15.063863393810033,30,Jos,0.023455071183775544,-0.584420624,15.431182149071505,0.038971457,-0.119223403,0.2275125994982048
e,5.142590506838294,13.384883435582822,15.179957752429237,50,Jos,1.242317934436251,3.393662108862424,15.57398524612082,0.8644156660012108,-0.317757461,0.09069802
a,7.302896352473816,12.293414958743679,15.469960913392306,100,Jos,1.702786159636351,0.08615197,15.83401652870706,-0.186864259,-0.184828119,-0.173991014
a,7.316593287621797,12.177047772410091,15.23594787725935,110,Jos,-0.115630529,0.083764835,15.60154342522053,0.006841056,0.13495648064679244,-0.434235339
a,6.982313624678662,11.914882449425916,15.087752928647497,290,Jos,-1.926578937,-1.296826081,15.438245628866198,-0.207733075,-0.019662083,-0.211311956
e,8.333415300546449,13.535008488964346,16.03680311890838,76.614,Jos,0.7669480640792132,1.1015434033253477,16.39780314763102,-0.179527753,-0.191394506,-1.732099381
o,7.192604432,13.611822565091611,15.849749900754267,57.46,Jos,-0.486475214,-0.06985569,16.19390139334419,-0.324351753,-0.306538614,-1.893295867
a,7.2616865725660515,11.735964572377526,14.713281972265023,180,Jos,0.2935572083617153,-0.044145803,15.083109568912684,0.31809990430227586,-0.722553765,-0.321879257
a,7.479427549,13.113475319468806,14.913441488211118,80,Jos,-0.040272558,-0.637292444,15.256661024456612,-0.020201188,-1.159429518,-0.370676244
e,7.038842914683265,13.438455522971653,14.950202673566192,110,Jos,-1.164927295,-0.034427733,15.29717102253002,-0.915191208,-0.063072419,0.6276384669633384
o,8.461213970837573,11.679388719088635,16.729363867684476,70.229,Jos,0.3323711383677974,0.5253530253638221,17.107655938454318,-0.313581121,0.16842232183418915,0.041479419
e,7.479427549,13.30848679338435,16.835787203450753,117.344,Jos,1.9692299207364927,2.3843021060669916,17.217188188966873,0.7491811763288849,0.2788562017847305,-1.154335005
e,6.223664122137404,9.034315720380702,13.378551436287749,90,Jos,0.6398437204044383,-2.915823358,13.746081188009537,0,0.016962968,0.081834024
e,4.9191869918699185,10.824823529411766,14.550625,90,Jos,-0.086481024,-0.085887205,14.932208253777569,0.11228894828373992,-0.240044557,-0.281505
e,5.336357114388202,10.026489328796783,15.341698584512907,100.024,Jos,-0.074858136,-2.135402127,15.706367172647862,0.15740870839660825,-0.561721329,-1.336307321
i,6.269489718202589,12.864733214194537,15.222003367003365,30,Jos,0.045825596,0.31907717655731815,15.58148815619466,0.6559614788508172,0.19906960270687257,-0.136634811
a,5.656923076923076,9.614094513162067,13.639249458744287,210,Jos,0.1549381026249348,-1.18340696,14.022364243860576,-0.454981641,1.4435416397927412,0.602354207
e,5.600110192837465,10.714952606635071,14.318333712724788,80,Jos,-0.056812884,0.7591526687661663,14.71284082687289,-0.205483802,1.1209572339366716,0.1159494252373392
e,4.5031247409863235,10.322635894321287,14.979440860215053,70,Jos,-0.125618564,0.8363719122183788,15.38030731812781,0.009021075,-1.248791755,-0.449798642
i,4.412501040366209,10.041557478368356,14.172258064516129,40,Jos,0.045595286,-1.314386856,14.547819761038017,-0.018215326,3.5427189168962006,1.0729666309899617
a,7.6394891805604805,12.11622641509434,16.06468118195956,30,Jos,-0.589119545,-0.789479871,16.41930433326331,-0.153337535,0.24019117897031173,0.8200747629716005
a,8.569315807212673,13.060477987421383,14.613126110124334,120,Jos,0.824624449,-0.480709891,14.959172894827871,-0.260451238,0.548289797,0.5832206521621046
e,8.764133333333334,14.690322011468902,16.74323049001815,40,Jos,2.8593175132480297,6.265435840894657,17.158483313318655,-0.71716595,-0.264055375,-0.142287407
i,6.123651706942846,14.974578313253012,16.24417112299465,60,Jos,-0.153455259,0.5966394684058987,16.578933659666895,-0.394140561,-0.009737659,-0.038480939
a,8.687900903916974,13.68167825,16.255658145745898,40,Jos,0.18449089038517386,0.6411844274547054,16.608461762498834,-0.323891357,0.13742537355648565,-0.267001663
a,6.861079083518107,13.491584327086882,16.324031830238727,50,Jos,0.050364004,-0.691822671,16.661416929174987,-0.144593603,-0.266888675,0.1486520070139754
a,7.275443037974683,13.825010666034604,16.79316122,50,Jos,0.19442002007187043,0.39597667239312706,17.140721216176434,0,0.37508128798838314,0.23387170789555256
a,6.911183192038334,10.85657763428236,12.83727807623433,80,Jos,0.5582214931380696,0.6314508392930538,13.228138824762288,0.2675445433306223,-0.164711719,0.41008303487678077
i,4.014067797,13.466637405510852,15.61693181818182,40,Jos,0.3449111701041456,2.106455690576155,15.99243622,-0.104267882,-0.520207565,-0.491166588
a,7.364377249820014,13.077085427135678,16.207621238259534,110,Jos,0.3255343351367488,-1.265704214,16.542857597267357,0.3868498305749082,-4.860887421,-2.860823306
